 |V|  density     Kahn(s)    Rand_mean(s)    Rand_best(s)       SA(s)   Δ_kahn(%)  SA_time(s)
-------------------------------------------------------------------------------------
   5      1.0       124.6           123.3           122.1       122.1        2.0%        0.14
   5      1.5       231.1           250.9           231.1       231.1        0.0%        0.14
   5      2.0       426.5           426.5           426.5       426.5        0.0%        1.35
  10      1.0       881.8          1030.4           404.0       390.7       55.7%        0.11
  10      1.5      1647.6          1657.5          1165.8      1165.8       29.2%        0.17
  10      2.0      2395.1          2367.2          2059.4      2059.4       14.0%        0.14
  20      1.0      4960.3          4475.7          2602.1      2216.4       55.3%        0.15
  20      1.5      6314.1          6444.4          4270.5      4056.4       35.8%        0.24
  20      2.0      9196.6          8561.9          7325.8      7340.5       20.2%        0.31
  50      1.0     43599.2         38720.1         26348.6     16512.5       62.1%        0.27
  50      1.5     66043.5         63607.3         41838.5     32710.2       50.5%        0.42
  50      2.0     84313.9         90375.2         71486.0     50008.0       40.7%        0.52
